title,layout,URL,address,section_name,region_name,lng,lat,price,area
"泰安街6巷泰安官邸名人巷,一層一戶,全新裝璜",4房3廳2衛,https://rent.591.com.tw/rent-detail-4736824.html,台北市中正區泰安街6巷8號,中正,台北市,121.5274302,25.0401475,110000,78
中山北路二段72巷BananaCo-living,,https://rent.591.com.tw/rent-detail-4721338.html,台北市中山區中山北路二段72巷,中山,台北市,121.5227027,25.0570470,9000,5
永康街4巷東門捷運永康街全新裝潢.可短租/日本語可,,https://rent.591.com.tw/rent-detail-4698461.html,台北市大安區永康街4巷,大安,台北市,121.5298214,25.0329245,20000,6.7
"華陰街台北火車站捷運市區精選美宅,可當辦公室",3房2廳2衛,https://rent.591.com.tw/rent-detail-4688436.html,台北市大同區華陰街,大同,台北市,121.5166581,25.0499652,58000,40
民權東路二段中山國小站【景觀陽台套房】~民權東2段,,https://rent.591.com.tw/rent-detail-4733085.html,台北市中山區民權東路二段,中山,台北市,121.5325610,25.0625987,15000,12
敬業一路美麗華捷運優生活宅歐式裝潢悠閒優質五星級,1房2廳1衛,https://rent.591.com.tw/rent-detail-4716820.html,台北市中山區敬業一路,中山,台北市,121.5525618,25.0819462,29500,18
重慶北路四段72號可租一個月可短期包網路第四台,,https://rent.591.com.tw/rent-detail-4716839.html,台北市士林區重慶北路四段72號,士林,台北市,121.5131230,25.0819410,8800,8
延平北路五段163巷☆全新套房☆獨立洗衣機☆監視門禁管理☆,,https://rent.591.com.tw/rent-detail-4717635.html,台北市士林區延平北路五段163巷17弄1號,士林,台北市,121.5095278,25.0826319,8500,7
中庸一路■陽明峰景■品味豪邸■與山相伴．擁山入宅,3房2廳2衛,https://rent.591.com.tw/rent-detail-4672805.html,台北市士林區中庸一路,士林,台北市,121.5506819,25.1325220,78000,55
信義路六段捷運象山精緻套房2萬2包水電網路瓦斯,,https://rent.591.com.tw/rent-detail-4721113.html,台北市信義區信義路六段30號,信義,台北市,121.5756410,25.0341439,22000,13
民權東路二段152巷套房3分鐘捷運行天宮站榮星花園,,https://rent.591.com.tw/rent-detail-4736115.html,台北市中山區民權東路二段152巷5弄2號,中山,台北市,121.5346230,25.0612962,11000,10
樂利路27巷六張犁捷運站全新雅房樂利路靜巷舒適高品質,,https://rent.591.com.tw/rent-detail-4675741.html,台北市大安區樂利路27巷,大安,台北市,121.5518838,25.0275821,8000,3
林口街24巷2015全新落成六星級套房‧全套系統傢俱,,https://rent.591.com.tw/rent-detail-4664049.html,台北市信義區林口街24巷23號,信義,台北市,121.5802354,25.0378495,15000,8
仁愛路四段345巷忠孝東路名人巷旁.新外牆.新裝潢.機能佳,3房2廳2衛,https://rent.591.com.tw/rent-detail-4521433.html,台北市大安區仁愛路四段345巷2弄7號,大安,台北市,121.5537025,25.0385558,65000,43
社中街全新套房門禁監視系統※含水、網路、第四台,,https://rent.591.com.tw/rent-detail-4741976.html,台北市士林區社中街414號,士林,台北市,121.5028129,25.0920237,11000,8
塔悠路(亦可分租)山水美景(可炊大車位),3房2廳2衛,https://rent.591.com.tw/rent-detail-4714153.html,台北市松山區塔悠路,松山,台北市,,,15000,10
東華街一段486巷石牌站走路1分鐘，一樓2房小住家,2房1廳2衛,https://rent.591.com.tw/rent-detail-4701883.html,台北市北投區東華街一段486巷,北投,台北市,121.5178241,25.1126611,28000,20
"同安街30巷近師大,古亭家庭式雅房1間,限女生",,https://rent.591.com.tw/rent-detail-4748878.html,台北市中正區同安街30巷,中正,台北市,121.5213414,25.0244497,13000,8
光復南路逸仙首馥名邸~天悅地產~,4房2廳2衛,https://rent.591.com.tw/rent-detail-4695450.html,台北市大安區光復南路,大安,台北市,121.5575103,25.0375222,125000,71.3
康樂街186巷內湖巴洛克式黃金屋30坪+百萬花園陽台,,https://rent.591.com.tw/rent-detail-4704792.html,台北市內湖區康樂街186巷,內湖,台北市,121.6202345,25.0767740,11000,8
承德路七段106巷石牌分租雅房出租全新家具環境單純,,https://rent.591.com.tw/rent-detail-4717456.html,台北市北投區承德路七段106巷,北投,台北市,121.5103297,25.1123026,7000,8
敦化南路160巷sogo全配雅緻大套房,,https://rent.591.com.tw/rent-detail-4751314.html,台北市大安區敦化南路160巷,大安,台北市,,,15000,10
士東路266巷近芝山國小住家三房兩廳陽光樓,3房2廳2衛,https://rent.591.com.tw/rent-detail-4693198.html,台北市士林區士東路266巷16弄12號,士林,台北市,121.5359791,25.1115919,18000,30
松山路高樓層2房交通生活超便利101景觀,2房2廳1衛,https://rent.591.com.tw/rent-detail-4754895.html,台北市松山區松山路272號,松山,台北市,121.5774260,25.0436410,26000,26
松河街松山捷運1分河景窗通光預<U+7EA6>1060430,,https://rent.591.com.tw/rent-detail-4585101.html,台北市松山區松河街,松山,台北市,121.5751887,25.0510704,10000,8
和平東路三段606巷捷運麟光站附近1樓套房,,https://rent.591.com.tw/rent-detail-4628756.html,台北市大安區和平東路三段606巷51號,大安,台北市,121.5480644,25.0248475,7500,5
民生東路五段137巷精裝大坪數高級套房帶全套家電,,https://rent.591.com.tw/rent-detail-4710776.html,台北市松山區民生東路五段137巷4弄20號,松山,台北市,121.5624980,25.0597315,18000,10
南京東路四段133巷近小巨蛋.健康路.松山新城.育達.寧安街,,https://rent.591.com.tw/rent-detail-4753156.html,台北市松山區南京東路四段133巷,松山,台北市,121.5551507,25.0526889,15800,7
